gene name	test_pipeline	first_sample
ATXN3	54	75
GOLGA5	42	16
FGFR2	0	0
LRRC40	7	0
ISOC1	199	70
EML1	2	12
TRMT11	47	9
THUMPD1	51	32
MSANTD3	0	6
KIF26A	0	0
ATG2B	0	0
ARFGEF1	0	15
ACSM2B	36	16
ZFAT	0	13
MTFR1	0	0
STAG3	0	0
FECH	7	25
MYO9A	0	2
DDX3Y	0	0
PFKP	0	0
IDI1	1024	405
SP100	46	51
KLF6	358	206
PLPP1	11	43
NEO1	0	22
TRAM1	105	250
PHKA1	0	0
TNFRSF1A	96	40
CACNB1	0	0
EVI5	40	4
STOML1	1	0
PKM	254	248
DHX29	0	53
DNTTIP2	335	311
METTL22	66	28
TP53BP1	0	0
TRO	0	0
RRP15	135	155
RHOA	370	513
DHX8	6	16
PMS2P4	20	0
PRKCZ	0	0
ZFY	0	0
IARS2	21	7
SYT1	0	0
NAV3	0	0
IDH3G	12	116
ROGDI	0	2
PDZD4	0	0
ATP2B3	0	0
ROCK1	22	32
CBFB	0	32
PDK3	136	0
HYAL2	241	157
HDAC4	0	5
RASSF1	80	45
FGFR3	0	0
IFI35	0	0
HEATR6	0	0
COASY	142	93
PLEKHH3	0	0
MEF2A	6	5
OTUD5	40	52
TFE3	0	29
TBC1D25	0	20
ACSL4	255	105
INPP5A	6	4
GPKOW	66	138
GRIPAP1	1	33
FTSJ1	53	142
PRR11	0	37
REEP1	0	15
ATP11A	2	0
POLR1A	65	5
LAPTM4A	459	476
TTC7A	0	0
IP6K2	75	110
STON1-GTF2A1L	0	0
SRBD1	0	16
KIF2A	59	28
RASGRP2	24	34
PSME4	0	11
IFT80	6	0
SIRT2	65	22
ERLEC1	22	44
PPP2R5B	12	0
PYGM	0	0
PAGE1	0	0
PITX1	30	0
TRPC7	0	0
MAST4	34	2
ADGRF5	0	0
SDK2	0	0
ADAM7	0	0
NUP133	20	7
NUCKS1	382	585
VPS35	281	104
DNAJA2	28	28
BCL3	4	1
KCNAB2	0	0
ABCC9	0	0
GAL	92	180
CLEC2D	0	1
FUNDC1	563	131
MAOB	379	137
RORA	0	1
DRD4	0	0
TGFBR3	27	0
KIAA1107	0	0
PLA2G10	0	0
HES2	0	0
ATP1B3	323	387
NEDD4	0	0
PIGB	0	25
MAPK6	34	24
GNB5	7	13
RAB27A	2	50
CECR5	75	118
UFD1L	365	408
LRP6	2	38
GUCY2C	0	1
SCT	0	0
PHRF1	0	13
IKBKAP	30	87
NUCB2	46	74
PFN2	44	53
PTPN3	88	3
SPTB	0	0
DAPP1	0	0
FGF10	0	0
SLC44A1	7	39
TMEM260	0	0
SMG6	0	0
EXOC5	0	20
CLTCL1	0	2
FGF22	0	0
FSTL3	0	26
DGCR2	3	53
RNF126	66	66
MNT	0	0
ZXDC	0	7
JMJD6	0	76
POLB	37	61
ST6GALNAC1	0	0
WIPI1	0	93
FRMPD1	0	0
GBA2	4	12
NDST1	9	16
ASNS	67	62
AP3M2	0	0
CNGB1	0	0
ST6GALNAC2	0	0
CHAT	0	0
PABPC1	73	293
TESK2	0	0
CFAP20	28	69
CSNK2A2	4	0
PTPN21	13	0
EIF2B3	17	95
CAMK2A	1	0
TCOF1	45	17
CDC42	507	475
OSBPL3	0	13
EPHA8	0	0
SLC12A3	0	0
RAD18	74	38
ATP2B1	118	218
TRPM5	0	0
NCK2	4	0
MAP4K4	112	30
MGAT4A	16	2
RPL31	1419	1056
WDR1	107	112
SNX13	38	0
MS4A12	0	0
ARHGAP10	0	0
RPS6KA2	0	0
ING3	75	9
VASH1	0	0
LMCD1	48	0
WBSCR22	334	334
SEL1L	4	6
TRIP13	35	173
ATP6AP1	74	239
TCF3	0	14
TRIB2	0	0
DAZAP1	4	18
MBD3	4	6
PRLH	0	0
HLTF	26	90
FAM50A	1	160
FAM3A	12	4
CPSF1	3	2
MYO3B	0	0
CYBRD1	0	0
CDH19	0	0
PDCD2	249	138
SLC6A15	0	0
RDH11	316	110
PRKACA	3	1
ADGRL1	0	0
SPP2	0	0
ACTN1	333	252
ZFYVE26	0	0
RPS6KA6	0	0
EPN2	0	0
PTPN18	0	19
LIMS2	0	0
ASIC4	0	0
SPEG	0	0
LNX1	0	4
ALDH3A2	370	155
TFRC	23	56
SREBF1	0	13
TRPC5	0	0
AFF4	4	0
UBE2D1	69	125
MPP5	23	1
RHOBTB1	0	0
SMC1A	135	167
HSD17B10	1197	955
MARK2	0	0
HMMR	4	19
CHFR	0	5
TRHDE	0	0
P4HA2	29	67
FCGR2B	0	0
NFATC3	0	27
TRNT1	76	33
ACADVL	14	49
STK10	24	0
FBXW11	3	50
ACAP1	0	0
CRMP1	0	0
EVC	0	0
DERL2	30	138
SIDT1	0	0
NDE1	1	15
MRVI1	0	0
TMEM38A	0	0
AP1M1	17	144
PVR	22	17
XRCC1	0	0
SCARB1	75	114
CYP2W1	0	0
MCM2	112	34
MOV10L1	0	27
PANX2	0	0
SELENOO	24	42
TP63	0	0
ALPK1	0	0
LLGL2	30	87
PDE8A	1	32
CLCN4	10	0
NLE1	136	80
SDHA	113	498
SMARCE1	134	136
FNDC8	0	0
GSDMB	43	0
KDM5A	9	28
ADAM11	0	0
PPP2R3A	13	0
FERMT2	0	36
ABCB11	0	0
DHRS9	0	0
CD5L	0	0
PTGS2	0	0
IGF2BP2	29	15
MAP3K13	18	40
ST6GAL1	157	35
TBX21	0	0
VDAC1P1	0	0
FRY	0	3
PICALM	0	0
NSF	0	0
GLI2	0	0
CLASP1	0	0
MRPS34	243	432
NOTCH3	0	0
CLNS1A	83	192
PPP2R2C	0	0
TEAD2	0	1
EED	0	0
CDHR2	0	0
SNCB	0	0
TSG101	266	111
NCBP3	1	18
ATP2A3	0	0
CA12	0	15
MGLL	154	345
NTN4	6	0
BCS1L	23	119
NUAK1	0	17
DPP8	0	13
SLC24A1	0	0
ZNF532	0	10
SCARF1	0	0
LMAN1	133	331
HACD3	533	619
IPCEF1	0	0
ZZEF1	3	2
NOX3	0	0
ENO1	5840	5911
SLC12A1	0	0
MYDGF	744	380
ANO8	0	0
TUBE1	52	31
ARHGEF10L	92	16
TXK	0	0
WSCD2	0	0
KCNQ2	0	0
TACR2	0	0
ACTR6	0	10
TIPIN	0	96
SRI	298	297
EIF4G3	45	36
NUP37	63	111
SEMA3A	0	0
GTSE1	0	31
SEMA3C	0	0
TTC38	113	11
ACAT1	334	238
GRAMD4	0	2
CELSR1	6	23
WNT8B	0	0
ZNF638	23	22
SLC25A40	0	0
TIMM21	0	1
ADD2	0	0
FGF4	0	0
RASAL2	0	18
VPS9D1	0	0
ZNF37A	3	0
MARK3	20	17
SLC25A3	1199	892
FNDC3B	81	31
FOSL2	0	0
CACNG5	0	0
CACNG4	0	0
FRYL	0	0
TMEM131	0	1
FSCN1	0	0
ACTB	18149	19864
MOCOS	0	3
PLD1	83	94
ATP12A	0	0
WDR62	0	10
DLG1	39	27
RAB7A	318	140
BCAP29	43	66
SEC31B	0	0
SART3	139	0
ARHGAP15	0	0
TUBA3D	0	0
PAX2	0	0
EXOSC7	373	87
KIFAP3	0	0
MKRN2	130	47
MCM6	0	112
REXO2	129	25
RBM7	5	0
RBMS2	0	40
BAZ2A	4	74
PTPN23	10	5
MLH1	11	58
UNG	89	138
FMO4	0	0
KLHL20	28	15
RGS11	0	0
SLC46A1	0	0
PLXNA2	92	0
SPAG5	0	8
ANKRD13A	26	4
TPD52	47	102
ACACB	0	27
TRAF4	0	11
PAG1	0	0
GPATCH1	0	16
ICAM3	0	0
NT5C2	4	1
MCAM	2	0
GPC4	0	0
MBNL3	29	25
CAMSAP3	0	0
RAP1GAP	18	0
XAB2	0	0
ARHGEF1	10	14
STXBP2	0	8
MAP2K7	28	0
NMRK2	0	0
DGKD	0	11
CTTNBP2	0	0
ACTL6B	0	0
RARB	0	0
TOP2B	118	26
TM9SF3	2	33
NFKB2	0	1
UBE2T	182	185
PPP1R12B	0	5
DNAJC10	48	31
GTF3C1	88	3
IL4R	0	36
USP33	0	1
PAK3	0	0
CAPN6	0	0
DCX	0	0
SNRPA	7	41
SPAG6	0	0
EXOSC5	167	258
DYNC1I2	67	62
APBB1IP	0	0
LRCH4	0	0
FAM76B	0	0
SIRT6	1	16
TYR	0	0
POLD3	208	24
ACTN2	0	0
CAPZB	480	346
GPR137B	1	0
NAALAD2	0	0
JADE1	0	33
SLC25A43	0	17
UBE2A	59	143
FGFR1	0	16
FKBP6	0	0
SMC1B	0	0
FBLN1	284	290
ITGA8	0	0
CST7	0	0
MAP2	0	0
